nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
"Piso en Carrer de l'Onze de Setembre, 45",Jose PANDO LANCHARRO,5.080 €/m²,254.000 €,50 m²,https://www.pisos.com/comprar/piso-eixample_centre_barri_antic-51679666228_108700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",baix_llobregat (BCN),50 m²,3,1,Más de 50 años,,UVC828-32027,N/A,N/A,,N/A,,,50 m²,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Joan Despí,VIDA MEJOR IMOBILIARIA,4.468 €/m²,357.500 €,80 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano08970-50042121718_109300/,Anuncio actualizado el 31/01/2025,"E, F","E, F",baix_llobregat (BCN),80 m²,2,1,,,EP954-VMG3132,Por conductos con bomba de calor,,N/A,,,,78 m²,2ª,70€,N/A,,N/A,N/A,N/A,N/A,,,N/A,,N/A,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,,,
Piso en Carrer de Sant Isidre,Home Virtual Inmobiliaria,2.959 €/m²,367.000 €,124 m²,https://www.pisos.com/comprar/piso-centre_zona_estacio_passeig_de_joan_maragall-44178850775_100500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),124 m²,4,2,Entre 20 y 30 años,,SA4771-HOV-372/10676,N/A,Central,,N/A,,,100 m²,1ª,Entre 10 y 20 €,Gres,,N/A,,N/A,Sureste,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,
"Chalet en calle calle Llorers 18, nº 18",Ruth GIL ESCUDERO,1.391 €/m²,345.000 €,248 m²,https://www.pisos.com/comprar/chalet-vallirana_centro_urbano-49168719361_108700/,Anuncio actualizado el 19/02/2025,"E, F","E, F",baix_llobregat (BCN),248 m²,4,3,Entre 30 y 50 años,,UVC638-30077,,,,,,,248 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Bajo Llobregat,Miriam ALMANSA,3.186 €/m²,239.000 €,75 m²,https://www.pisos.com/comprar/piso-marianao-51689584424_108700/,Anuncio actualizado el 03/02/2025,"E, E","E, E",baix_llobregat (BCN),75 m²,3,1,Más de 50 años,,UVC259-31693,,,,,,,75 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Plana,FINQUES EL POBLE,1.491 €/m²,267.000 €,179 m²,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-35048134671_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",baix_llobregat (BCN),179 m²,5,3,,En buen estado,SA4698-7318,,,,,,,119 m²,,,,,,,,,,,,,,,,,,,,,120 m²,,,,,,,,,,,,,
Casa en Mas Den Gall,FINQUES BUSINFREU,1.305 €/m²,235.000 €,180 m²,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-32539550572_100500/,Anuncio actualizado el 02/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),180 m²,3,1,,,SA1427-B00832/4969,,,1,N/A,N/A,,170 m²,,,Gres,N/A,N/A,,,,,,,,,,,,,,,,2.000 m²,N/A,,,,,,N/A,,,,,,
Piso en El Torrent Ballester-Can Palmer-Can Batllori,VIDA MEJOR INMOBILIARIA,2.516 €/m²,213.900 €,85 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-51683566108_109300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),85 m²,3,1,,,EP864-VMV1261,N/A,N/A,,,,,73 m²,6ª,50€,N/A,,,N/A,,Norte,,,N/A,,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,
Casa en Sant Esteve Sesrovires,F & F Inmobilaria,2.897 €/m²,394.000 €,136 m²,https://www.pisos.com/comprar/casa-sant_esteve_sesrovires_centro_urbano-45090717542_100500/,Anuncio actualizado el 28/01/2025,"E, E","E, E",baix_llobregat (BCN),136 m²,4,3,Entre 20 y 30 años,,SA371-5684/2536,N/A,N/A,1,N/A,N/A,N/A,122 m²,,,Terrazo,N/A,,,,Sur,,,,,,,,N/A,,,,,998 m²,N/A,,,,,N/A,N/A,,,,,,
"Dúplex en Carrer Major, 70",LALLARONLINE,3.626 €/m²,424.350 €,117 m²,https://www.pisos.com/comprar/duplex-sant_boi_de_llobregat_centre-51762127379_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),117 m²,3,3,Menos de 5 años,,SA8-MX234/5643,,N/A,1,,,,,Bajo,,Parquet,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Finca rústica en Carrer de la Petúnia,IMMOBILIÀRIA D´ENCAMP,1.050 €/m²,5.250.000 €,1.594 m²,https://www.pisos.com/comprar/finca_rustica-can_roca_muntanyeta-42560350752_523062/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),1.594 m²,,,,En buen estado,523062-000175,,Gasoil,Más de 2,N/A,,Propia,1.500 m²,,,Gres,,,,,A la montaña,,,,,,,N/A,N/A,,,,N/A,5.000 m²,N/A,Más de 2,,N/A,,,N/A,,,N/A,,,
Piso en Esplugues de Llobregat,DON PISO ESPLUGUES DE LLOBREGAT,3.230 €/m²,210.000 €,65 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50025637312_519066/,Anuncio actualizado el 12/02/2025,"E, E","E, E",baix_llobregat (BCN),65 m²,3,1,Más de 50 años,En buen estado,4519066-289522,Frío,Gas natural,,,,,59 m²,1ª,Entre 40 y 60 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer Major, 70",LALLARONLINE,3.720 €/m²,368.320 €,99 m²,https://www.pisos.com/comprar/piso-sant_boi_de_llobregat_centre-51694454835_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),99 m²,2,2,Menos de 5 años,,SA8-MX233/5643,,N/A,1,,,,,Bajo,,Parquet,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Esplugues de Llobregat,DON PISO ESPLUGUES DE LLOBREGAT,3.830 €/m²,609.000 €,159 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano-35098119401_519066/,Anuncio actualizado el 12/02/2025,"E, E","E, E",baix_llobregat (BCN),159 m²,5,2,Entre 30 y 50 años,En buen estado,4519066-274041,Frío y calor,Gas natural,,,,,135 m²,2ª,,Parquet,,,N/A,N/A,Suroeste,N/A,,,,,,"Con ofice como nueva , moderna , cierto diseño","Casi independiente, salida balcón",,,,,,,,,,,,,,,,,,
"Piso en Carrer Major, 70",LALLARONLINE,3.851 €/m²,385.150 €,100 m²,https://www.pisos.com/comprar/piso-sant_boi_de_llobregat_centre-51668418638_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),100 m²,3,3,Menos de 5 años,,SA8-MX231/5643,N/A,N/A,1,,,,,Bajo,,Parquet,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Avinguda dels Banys,INMOMAR,3.913 €/m²,270.000 €,69 m²,https://www.pisos.com/comprar/piso-lluminetes-44234147271_153800/,Anuncio actualizado el 11/02/2025,"D, D","D, D",baix_llobregat (BCN),69 m²,3,2,Más de 50 años,Reformado,1538-API-CastelLuxB,,,,,,,60 m²,1ª,,,,,,N/A,,,,,,Aluminio,,Americana,,,Alarma,N/A,N/A,,,,,,,,,,,,,,
Casa en Avenida Segunda Avenida,PISAZOS.COM,1.301 €/m²,380.000 €,292 m²,https://www.pisos.com/comprar/casa-torrelles_de_llobregat_centro_urbano-42588722508_997902/,Anuncio actualizado el 24/01/2025,"E, E","E, E",baix_llobregat (BCN),292 m²,8,4,Entre 30 y 50 años,En buen estado,4997902-24008,,Gasoil,Más de 2,N/A,Privado,Propia,272 m²,,,Gres,,N/A,,,Sur,,,N/A,N/A,Aluminio,,N/A,N/A,,,,,1.068 m²,N/A,,,,,,,,,N/A,N/A,,
Piso en Can Carreras,habitat Catalunya,2.277 €/m²,189.000 €,83 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-51676381410_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),83 m²,2,1,Más de 50 años,,SA828-01124/3799,N/A,,,N/A,,,71 m²,1ª,,Parquet,,,,N/A,Este,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Carrer de Pompeu Fabra,CENTURY 21 INMOVIP,2.128 €/m²,395.900 €,186 m²,https://www.pisos.com/comprar/casa-abrera_centro_urbano-49231889057_107700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),186 m²,3,2,Entre 20 y 30 años,,VE103-C0136-00357,N/A,N/A,,N/A,,,122 m²,,,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Chalet en Bajo Llobregat,Ruth GIL ESCUDERO,2.079 €/m²,599.000 €,288 m²,https://www.pisos.com/comprar/chalet-cervello_centro_urbano-50894741029_108700/,Anuncio actualizado el 30/01/2025,"E, E","E, E",baix_llobregat (BCN),288 m²,5,4,Entre 10 y 20 años,,UVC638-31245,N/A,N/A,,N/A,N/A,N/A,288 m²,,,,,,,,,,,,,,,,,,,,,1.188 m²,,,,,,,,,,,,,
Piso en Sant Joan Despí,VIDA MEJOR INMOBILIARIA,4.468 €/m²,357.500 €,80 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano08970-50013197489_109300/,Anuncio actualizado el 31/01/2025,"E, F","E, F",baix_llobregat (BCN),80 m²,2,1,,,EP864-VMG3132,Por conductos con bomba de calor,,N/A,,,,78 m²,2ª,70€,N/A,,N/A,N/A,N/A,N/A,,,N/A,,N/A,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,,,
Piso en Avinguda de Francesc Marimon,FINQUES EL POBLE,1.809 €/m²,76.000 €,42 m²,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-45866205587_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",baix_llobregat (BCN),42 m²,2,1,,En buen estado,SA4698-7409,,,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Villalba,F & F Inmobilaria,1.220 €/m²,399.000 €,327 m²,https://www.pisos.com/comprar/casa-abrera_centro_urbano-44229033976_100500/,Anuncio actualizado el 28/01/2025,"E, E","E, E",baix_llobregat (BCN),327 m²,4,2,Entre 30 y 50 años,,SA371-5685/2536,N/A,,1,N/A,N/A,Propia,117 m²,,,Gres,N/A,N/A,,,Sur,,,,,,,,,,N/A,,,862 m²,N/A,1,,,,N/A,,,,,,,
Piso en Avinguda del Ferrocarril,Gestiones Inmobiliarias,2.000 €/m²,210.000 €,105 m²,https://www.pisos.com/comprar/piso-sant_vicenc_dels_horts_centro_urbano-50925713740_528473/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),105 m²,5,1,Entre 30 y 50 años,Reformado,4528473-000051,,Central,,,,,96 m²,Bajo,,Gres,,,,,Este,N/A,,Roble,,Aluminio,,Equipada,Independiente,N/A,Puerta de seguridad,,,,,,,,,,,,,,,,
Piso en Carrer de Bécquer,FINCAS BELLAMAR,5.000 €/m²,345.000 €,69 m²,https://www.pisos.com/comprar/piso-castelldefels_el_poal-49255597141_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",baix_llobregat (BCN),69 m²,2,1,,En buen estado,SA2911-VC202437,,Gas natural,1,N/A,,Comunitaria,,1ª,Más de 100 €,,,,,,,N/A,,,,,,,,,,,,,,1,,,,,N/A,,,,,,
Chalet en Centrica,FINQUES EL POBLE,660 €/m²,185.000 €,280 m²,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-35098187550_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",baix_llobregat (BCN),280 m²,6,1,,En buen estado,SA4698-7280,,,,,,,240 m²,,,,,,,,,,,,,,,,,,,,,215 m²,,,,,,,,,,,,,
"Dúplex en Carrer Major, 70",LALLARONLINE,4.142 €/m²,385.250 €,93 m²,https://www.pisos.com/comprar/duplex-sant_boi_de_llobregat_centre-51755891640_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),93 m²,3,2,Menos de 5 años,,SA8-MX235/5643,,N/A,1,,,,,Bajo,,Parquet,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en calle de La Baronessa de Maldà,FINQUES CH,4.363 €/m²,480.000 €,110 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-44223911965_101300/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),110 m²,4,2,Entre 30 y 50 años,,API256-GC01965,,,,,,,103 m²,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vallirana,Engel & Völkers MMC Barcelona,3.282 €/m²,203.493 €,62 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-5045498461_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),62 m²,2,2,,A estrenar,IF76306-D-000LNI,Frío y calor,,N/A,N/A,,,,,,Parquet,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Casa en Avinguda de Montserrat, 14",PROPIARIA INMOBILIARIA,1.692 €/m²,325.000 €,192 m²,https://www.pisos.com/comprar/casa-sant_vicenc_dels_horts_centro_urbano-50074548011_100500/,Anuncio actualizado el 19/02/2025,"F, E","F, E",baix_llobregat (BCN),192 m²,3,2,Entre 30 y 50 años,,SA5737-PROP022/12158,N/A,,,N/A,N/A,,180 m²,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,
"Piso en Carrer de les Colomeres, 149",ICON REAL ESTATE,3.491 €/m²,199.000 €,57 m²,https://www.pisos.com/comprar/piso-les_bobiles_avinguda_diagonal_les_colomeres-51672389018_528770/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),57 m²,3,1,Entre 30 y 50 años,En buen estado,528770-000066,Frío y calor,Gas natural,,,,,50 m²,Entresuelo,Entre 40 y 60 €,Gres,,,N/A,,Este,N/A,N/A,,N/A,Aluminio,,,,,,,N/A,,,1,,,,,,,,,,,
Piso en Carrer de l'Estació,VS LA CLAU SERVEIS IMMOBILIARIS,1.760 €/m²,132.000 €,75 m²,https://www.pisos.com/comprar/piso-olesa_de_montserrat_centro_urbano-493863131_501243/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),75 m²,3,1,Más de 50 años,En buen estado,501243-001757,,N/A,,,,,75 m²,4ª,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,,,,N/A,N/A,N/A,,N/A,,,N/A,,,,
Piso en Carrer de Josep Cuxart,PISAZOS.COM,3.069 €/m²,199.500 €,65 m²,https://www.pisos.com/comprar/piso-cornella_de_llobregat_centre-14220170308_997902/,Anuncio actualizado el 07/02/2025,"E, E","E, E",baix_llobregat (BCN),65 m²,3,1,Más de 50 años,En buen estado,4997902-21028,,Gas natural,,,,,60 m²,1ª,,Terrazo,,,N/A,N/A,Norte,N/A,,N/A,N/A,Aluminio,,N/A,N/A,N/A,,N/A,,,,,N/A,N/A,,,,,,,,,
Piso en calle de Sant Jordi,FINQUES CH,4.400 €/m²,440.000 €,100 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50869416528_101300/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),100 m²,3,2,Entre 10 y 20 años,,API256-GC02324,,N/A,,,,N/A,71 m²,,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Bajo Llobregat,Thibaut Montalat,1.935 €/m²,1.248.400 €,645 m²,https://www.pisos.com/comprar/chalet-corbera_de_llobregat_centro_urbano-48396738500_108700/,Anuncio actualizado el 17/02/2025,"D, C","D, C",baix_llobregat (BCN),645 m²,5,5,Entre 30 y 50 años,,UVC876-29072,,,,,,,645 m²,,,,,,,,,,,,,,,,,,,,,1.510 m²,,,,,,,,,,,,,
Casa en Playa - Lluminetes,Horaxia Plus SL,7.012 €/m²,1.150.000 €,164 m²,https://www.pisos.com/comprar/casa-lluminetes-43423067861_103800/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),164 m²,3,,Menos de 5 años,A estrenar,INB356-661-HX2062S,N/A,N/A,1,N/A,N/A,Propia,,,,,,,,,Sur,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Rodalies Martorell,PROPIARIA INMOBILIARIA,1.637 €/m²,519.000 €,317 m²,https://www.pisos.com/comprar/chalet-martorell_centro_urbano-50049330490_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),317 m²,5,4,Entre 10 y 20 años,,SA5737-PROP018M/12158,N/A,,1,N/A,N/A,Propia,300 m²,,,,N/A,N/A,,,Sur,,,,,,,,,,,,,490 m²,,,,,,,N/A,,,,,,
Piso en Carrer de Pere Sala,PREMIER ESPAÑA,3.627 €/m²,399.000 €,110 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-35858405477_992912/,Anuncio actualizado el 17/02/2025,"A, A","A, A",baix_llobregat (BCN),110 m²,3,2,,A estrenar,4992912-PISOS VIL4 P.54,,,1,,,,80 m²,7ª,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Rodalies Martorell,PROPIARIA INMOBILIARIA,1.637 €/m²,519.000 €,317 m²,https://www.pisos.com/comprar/chalet-sant_esteve_sesrovires_centro_urbano-50062907128_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),317 m²,5,4,Entre 10 y 20 años,,SA5737-PROP018S/12158,N/A,,1,N/A,N/A,Propia,300 m²,,,,N/A,N/A,,,Sur,,,,,,,,,,,,,490 m²,,,,,,,N/A,,,,,,
Piso en Carrer Anselm Clavé,FINCAS ROSILLO,2.452 €/m²,260.000 €,106 m²,https://www.pisos.com/comprar/piso-molins_de_rei_centro_urbano-51700685684_997822/,Anuncio actualizado el 20/02/2025,"D, D","D, D",baix_llobregat (BCN),106 m²,3,1,Más de 50 años,A reformar,4997822-1060-24,,Gas natural,,,,,92 m²,1ª,Entre 60 y 80 €,Gres,,,N/A,N/A,,N/A,,Madera,,Madera,,N/A,N/A,N/A,,,,,,,,"2,12 m²",,,,,,,,,
Piso en Avinguda de la Constitució,INMOMAR,3.070 €/m²,350.000 €,114 m²,https://www.pisos.com/comprar/piso-castelldefels_centre-33393945166_153800/,Anuncio actualizado el 03/02/2025,"E, E","E, E",baix_llobregat (BCN),114 m²,4,2,,En buen estado,1538-4482,,A gas,,"4m, cubierta",,,88 m²,4ª,120 € trim,Parquet,,,N/A,,Mar y montaña,N/A,,Haya,N/A,Aluminio,,"Oficce, 12m, ext",Independiente,N/A,Rejas,N/A,,,,,,N/A,,,,,,,,,
Piso en calle de La Miranda,FINQUES CH,2.692 €/m²,280.000 €,104 m²,https://www.pisos.com/comprar/piso-la_gavarra-49226175448_101300/,Anuncio actualizado el 08/02/2025,"G, F","G, F",baix_llobregat (BCN),104 m²,4,2,Más de 50 años,,API256-770,,N/A,,,,,87 m²,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Casa adosada en Vall del Sol,PROPIARIA INMOBILIARIA,1.289 €/m²,239.900 €,186 m²,https://www.pisos.com/comprar/casa_adosada-vallirana_centro_urbano-51744409300_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),186 m²,6,2,Más de 50 años,,SA5737-PROP028/12158,,,,,,,170 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
Piso en Sant Ildefons,"Inmolledoner, s.l",2.500 €/m²,185.000 €,74 m²,https://www.pisos.com/comprar/piso-sant_ildefons-51763455156_528050/,Anuncio actualizado el 19/02/2025,"E, E","E, E",baix_llobregat (BCN),74 m²,3,1,Más de 50 años,En buen estado,4528050-LCB35029-ST.ILDEFONS,Frío,Gas natural,,,,,74 m²,13ª,,Parquet,,,N/A,,Este,N/A,,,,Aluminio,,N/A,N/A,,,,,,,,,,,,,,,,,,
Chalet en Sant Antoni,PROPIARIA INMOBILIARIA,1.343 €/m²,598.000 €,445 m²,https://www.pisos.com/comprar/chalet-sant_vicenc_dels_horts_centro_urbano-50097289811_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),445 m²,10,4,Entre 10 y 20 años,,SA5737-PROP017/12158,,,,,N/A,,400 m²,,,,,,,,,,,,,,,,,,,,,872 m²,,,,,,,,,,,,,
Ático en Olesa de Montserrat,VS LA CLAU SERVEIS IMMOBILIARIS,2.014 €/m²,272.000 €,135 m²,https://www.pisos.com/comprar/atico-olesa_de_montserrat_centro_urbano-44266576289_501243/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),135 m²,4,2,Entre 20 y 30 años,En buen estado,501243-003213,Frío y calor,Eléctrica,1,12m,,,105 m²,4ª,,Gres,4,N/A,N/A,,Sur,N/A,,Roble,N/A,Aluminio,,Office,30m,N/A,,N/A,,,,,,Terraza,N/A,,,,,,,,
Piso en Sant Ildefons,VIDA MEJOR IMOBILIARIA,2.820 €/m²,149.500 €,53 m²,https://www.pisos.com/comprar/piso-sant_ildefons-50000264577_109300/,Anuncio actualizado el 23/01/2025,"F, F","F, F",baix_llobregat (BCN),53 m²,2,1,,,EP954-VMG2912,,,,,,,42 m²,4ª,34€,N/A,,,,,N/A,,,N/A,,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,
Piso en Can Tintorer-Can Tries,FINQUES CH,3.299 €/m²,419.000 €,127 m²,https://www.pisos.com/comprar/piso-can_tintorer_can_tries-44216413214_101300/,Anuncio actualizado el 16/11/2024,"E, E","E, E",baix_llobregat (BCN),127 m²,3,2,Entre 20 y 30 años,,API256-BGAVDE 78,,N/A,,,,,93 m²,,,,,,N/A,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Urb. Mas D'en Gall - Esparreguera,FINQUES EL POBLE,2.444 €/m²,220.000 €,90 m²,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-35007919789_100500/,Anuncio actualizado el 14/02/2025,"E, F","E, F",baix_llobregat (BCN),90 m²,4,1,,En buen estado,SA4698-7251,,,,,,,80 m²,,,,,,,,,,,,,,,,,,,,,525 m²,,,,,,,,,,,,,
Dúplex en Carrer de Joan Maragall,INMOMAR,3.151 €/m²,249.000 €,79 m²,https://www.pisos.com/comprar/duplex-begues_centro_urbano-51751502759_153800/,Anuncio actualizado el 11/02/2025,"E, E","E, E",baix_llobregat (BCN),79 m²,1,2,Entre 10 y 20 años,En buen estado,1538-API- BEG,Frío y calor,,,5,,,64 m²,2ª,,Parquet,,N/A,,,,,,,,,,N/A,,,Cerradura y ouerta de seguridad,N/A,N/A,,,,,,,,,,,,,,
Casa en Montmar,Horaxia Plus SL,2.757 €/m²,1.900.000 €,689 m²,https://www.pisos.com/comprar/casa-montmar-50842202203_512643/,Anuncio actualizado el 27/01/2025,"E, E","E, E",baix_llobregat (BCN),689 m²,8,5,Entre 10 y 20 años,En buen estado,4512643-HX2041S,Frío y calor,Gas natural,Más de 2,N/A,Privado,Propia,378 m²,,,Cerámicos,,,,,Sur,,,,N/A,,,,,,,,,876 m²,,,,,,,N/A,,,,,,
Casa en Carrer dels Faigs,INMOMAR,3.722 €/m²,1.369.999 €,368 m²,https://www.pisos.com/comprar/casa-can_roca_muntanyeta-50918056047_153800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),368 m²,9,6,Más de 50 años,En buen estado,1538-API-93101SCAN1,Frío y calor,,,,Privado,Propia,326 m²,,,,,,,,,,,,N/A,,,Office,N/A,,,,N/A,396 m²,N/A,Más de 2,,,,,,,,N/A,N/A,,
Chalet en Bajo Llobregat,Yoann Guillery,2.033 €/m²,799.000 €,393 m²,https://www.pisos.com/comprar/chalet-cervello_centro_urbano-45020035104_108700/,Anuncio actualizado el 29/01/2025,"C, C","C, C",baix_llobregat (BCN),393 m²,4,2,Entre 10 y 20 años,,UVC75-26704,N/A,N/A,,N/A,N/A,N/A,393 m²,,,,,,,,,,,,,,,,,,,,,650 m²,,,,,,,,,,,,,
Dúplex en Olesa de Montserrat,SOM GESTIO OLESA,1.711 €/m²,315.000 €,184 m²,https://www.pisos.com/comprar/duplex-olesa_de_montserrat_centro_urbano-27543306425_510933/,Anuncio actualizado el 19/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),184 m²,4,2,Entre 20 y 30 años,En buen estado,510933-005089,Frío y calor,Gas natural,2,N/A,,,134 m²,1ª,,Gres,,N/A,,N/A,,N/A,,N/A,N/A,Aluminio,,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,,,,,,,,
Piso en El Castell-Poble Vell,DEXTRA PISOS,3.563 €/m²,310.000 €,87 m²,https://www.pisos.com/comprar/piso-el_castell_poble_vell-50066031299_500567/,Anuncio actualizado el 17/01/2025,"E, E","E, E",baix_llobregat (BCN),87 m²,3,1,Entre 30 y 50 años,Reformado,500567-31212,,,,,,,80 m²,1ª,Entre 20 y 40 €,Terrazo,,,,N/A,Norte,N/A,,,,Madera,,"4,97m",20 con salida a balcón,N/A,,,N/A,,,,,"Patio de 12,5m",,,,,,,,,
Casa adosada en Carrer d'Iscle Soler,OPENLLAR SERVEIS IMMOBILIARIS,2.363 €/m²,390.000 €,165 m²,https://www.pisos.com/comprar/casa_adosada-el_pedro-45919061884_100500/,Anuncio actualizado el 19/02/2025,"E, D","E, D",baix_llobregat (BCN),165 m²,4,2,,,SA1019-OP24_CH21COR/3968,,,,N/A,,,160 m²,,,Gres,,,,,,,,,,,,,,,,,,,,1,,,,,,Adosada,,,,,
Piso en Centre,FINQUES CH,4.293 €/m²,395.000 €,92 m²,https://www.pisos.com/comprar/piso-castelldefels_centre-51705724733_101300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),92 m²,4,1,Más de 50 años,,API256-4922,,,,,,,74 m²,,,,,,N/A,,Este,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
